,0
1113,89196953423ffff
1114,891969c9e13ffff
1115,891969c99cfffff
1116,89196826d33ffff
1117,891969c9d3bffff
1118,89196950453ffff
1119,891969c9e17ffff
1120,891969532a3ffff
1121,89196826abbffff
1122,89196824993ffff
1123,891969c8c4bffff
1124,89196824c63ffff
1125,891969c8ad3ffff
1126,89196826847ffff
1127,8919682683bffff
1128,8919682456bffff
1129,89196824013ffff
1130,89196952027ffff
1131,891968245afffff
1132,891969c8a83ffff
1133,891969c8d9bffff
1134,891969cababffff
1135,891969cf20fffff
1136,891969533dbffff
1137,891969c9a73ffff
1138,8919695268fffff
1139,891969534d7ffff
1140,8919695300bffff
1141,89196953647ffff
1142,891969c88abffff
1143,8919695303bffff
1144,891968241dbffff
1145,891969c8c2bffff
1146,89196952277ffff
1147,8919695207bffff
1148,8919695344bffff
1149,891969cd64fffff
1150,891969c9ba3ffff
1151,891969cf64fffff
1152,891969c8b73ffff
1153,891969cf603ffff
1154,89196826807ffff
1155,8919682686bffff
1156,89196824187ffff
1157,8919695304fffff
1158,8919682632bffff
1159,891969c899bffff
1160,89196952253ffff
1161,891969cf043ffff
1162,891969c9abbffff
1163,8919695325bffff
1164,8919682456fffff
1165,891969c8e0bffff
1166,891969c8823ffff
1167,891969c89c7ffff
1168,891969522c3ffff
1169,89196952427ffff
1170,891969c83bbffff
1171,8919682480fffff
1172,89196824583ffff
1173,89196953143ffff
1174,89196952003ffff
1175,891969cd283ffff
1176,891969caba7ffff
1177,891969536a3ffff
1178,891969c882fffff
1179,89196826e8fffff
1180,891969c9b9bffff
1181,891969cabafffff
1182,89196952213ffff
1183,891969c98b7ffff
1184,891969c893bffff
1185,89196952473ffff
1186,891969c9b83ffff
1187,89196824553ffff
1188,89196826d8fffff
1189,891969c8a87ffff
1190,8919695306bffff
1191,8919682488fffff
1192,89196953467ffff
1193,891969c8e97ffff
1194,8919695258bffff
1195,8919682692bffff
1196,89196950487ffff
1197,891969c8c47ffff
1198,89196824d07ffff
1199,891969c8ab3ffff
1200,891968245cbffff
1201,891969c98cbffff
1202,891968249d3ffff
1203,891969cd6d7ffff
1204,891969cd467ffff
1205,89196953483ffff
1206,891969cd6b3ffff
1207,89196826943ffff
1208,891969c89b3ffff
1209,891969c8e7bffff
1210,891969cab07ffff
1211,89196952497ffff
1212,89196826c67ffff
1213,891969c9307ffff
1214,8919695360bffff
1215,89196952693ffff
1216,8919682686fffff
1217,891969cf0cfffff
1218,891969c9ea7ffff
1219,891969533cbffff
1220,89196824d77ffff
1221,891969c9b43ffff
1222,89196953197ffff
1223,89196952403ffff
1224,89196824427ffff
1225,89196952483ffff
1226,891969514c3ffff
1227,891969c8b6bffff
1228,89196826917ffff
1229,89196826a13ffff
1230,891969cf6b3ffff
1231,891969524b3ffff
1232,891969534a7ffff
1233,891969c9c4bffff
1234,891969c812bffff
1235,891969caa2fffff
1236,891969c99afffff
1237,891969525c3ffff
1238,89196953563ffff
1239,891969c9817ffff
1240,891969521cfffff
1241,891969532d3ffff
1242,89196952647ffff
1243,891969c98d7ffff
1244,89196953083ffff
1245,891969c880bffff
1246,89196824137ffff
1247,891969cf04bffff
1248,891969c8137ffff
1249,891969cd0d3ffff
1250,891969520a3ffff
1251,891969526afffff
1252,8919695215bffff
1253,891969c99c3ffff
1254,891969c9d03ffff
1255,8919682698bffff
1256,89196826937ffff
1257,891969522afffff
1258,891968245a3ffff
1259,8919695246fffff
1260,891969c8eabffff
1261,891969c8e17ffff
