,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
46863,891e8052b53ffff,68,1,8,3,15,0,1,7,19,15,0,High-area,True
47988,891e8052c7bffff,11,1,1,0,0,4,1,0,2,3,0,Low-area,True
48303,891e8050cc3ffff,56,1,8,1,7,1,11,10,13,5,0,High-area,True
48552,891e8052323ffff,97,1,9,1,0,2,2,32,36,15,0,High-area,True
48756,891e8052013ffff,94,1,5,3,0,2,2,45,30,7,0,High-area,True
49025,891e805018bffff,92,2,21,5,6,1,9,23,20,7,0,High-area,True
49474,891e8041dd3ffff,6,5,0,0,0,0,1,0,5,0,0,Low-area,True
49583,891e8050453ffff,62,1,7,5,1,1,2,9,29,8,0,High-area,True
50025,891e80424cfffff,11,2,3,0,0,1,1,3,3,0,0,Low-area,True
50095,891e80520afffff,27,1,3,1,0,0,0,6,16,1,0,Low-area,True
50161,891e8051d83ffff,99,1,16,6,0,1,1,30,37,8,0,High-area,True
50909,891e805703bffff,24,2,4,0,0,2,0,5,12,1,0,Low-area,True
51049,891e805542fffff,35,1,3,1,2,2,1,7,15,4,0,High-area,True
51274,891e805ad3bffff,9,1,1,0,0,1,0,2,5,0,0,Low-area,True
51299,891e8050183ffff,80,2,19,3,8,8,5,12,23,2,0,High-area,True
51889,891e805b3cbffff,94,1,12,3,2,0,2,38,25,12,0,High-area,True
52080,891e8051c33ffff,13,1,0,1,0,2,0,2,3,5,0,Low-area,True
52501,891e80503d3ffff,95,1,10,4,2,3,0,38,28,10,0,High-area,True
54266,891e8050e17ffff,97,1,19,4,0,4,2,19,40,9,0,High-area,True
54614,891e805088fffff,98,1,3,3,2,0,4,34,37,15,0,High-area,True
55537,891e80528b3ffff,96,1,9,4,0,2,1,16,50,14,0,High-area,True
56127,891e8043493ffff,5,1,0,0,0,2,0,0,3,0,0,Low-area,True
56140,891e80513afffff,26,2,3,0,0,2,0,3,18,0,0,Low-area,True
56230,891e80513abffff,17,3,4,0,0,0,3,2,7,1,0,Low-area,True
56613,891e805190bffff,7,1,0,0,0,0,0,1,6,0,0,Low-area,True
56620,891e8050007ffff,60,1,10,4,0,2,0,10,25,9,0,High-area,True
57192,891e805758fffff,11,1,0,0,0,0,0,1,10,0,0,Low-area,True
57230,891e805ad23ffff,19,2,2,0,0,2,0,4,5,6,0,Low-area,True
60328,891e8055423ffff,21,1,0,2,0,3,1,7,5,3,0,Low-area,True
60486,891e8051d43ffff,16,1,0,6,0,1,0,2,7,0,0,Low-area,True
60821,891e80573c7ffff,24,1,3,0,1,1,0,8,10,1,0,Low-area,True
60963,891e80c99abffff,5,1,1,0,0,0,0,0,4,0,0,Low-area,True
61135,891e805051bffff,90,1,25,2,9,1,14,17,16,6,0,High-area,True
61750,891e8050e63ffff,40,1,1,2,3,1,1,10,15,7,0,High-area,True
61913,891e8050bbbffff,8,1,2,0,0,0,0,1,4,1,0,Low-area,True
62574,891e80cd10bffff,27,1,0,4,0,1,0,7,15,0,0,Low-area,True
63395,891e805188fffff,17,1,4,4,2,1,1,2,2,1,0,Low-area,True
64667,891e8050d5bffff,51,1,5,6,3,2,5,7,14,9,0,High-area,True
65289,891e8052a07ffff,92,1,10,10,5,1,6,28,28,4,0,High-area,True
66297,891e8055527ffff,22,1,1,2,3,2,1,4,4,5,0,Low-area,True
66413,891e8050947ffff,99,1,17,1,0,2,2,37,34,6,0,High-area,True
67350,891e8050d07ffff,94,1,13,3,0,1,3,36,29,9,0,High-area,True
67739,891e8052d2bffff,97,1,12,5,0,3,4,25,41,7,0,High-area,True
68187,891e80521afffff,84,2,7,0,1,0,1,15,47,13,0,High-area,True
68555,891e8052307ffff,4,1,2,0,1,0,0,0,1,0,0,Low-area,True
69022,891e8052d13ffff,96,1,7,2,2,4,0,21,46,14,0,High-area,True
69266,891e8053167ffff,20,1,3,1,3,0,2,2,8,1,0,Low-area,True
69514,891e8051b9bffff,25,1,2,0,0,2,3,4,8,6,0,Low-area,True
69559,891e8050517ffff,96,1,22,3,4,1,8,32,22,4,0,High-area,True
70823,891e8050e77ffff,21,1,2,0,0,1,1,4,11,2,0,Low-area,True
70844,891e8052d4bffff,58,1,3,3,1,2,0,20,25,4,0,High-area,True
71190,891e80573bbffff,21,1,1,2,1,1,0,5,11,0,0,Low-area,True
71715,891e805052fffff,94,1,21,3,6,1,5,27,31,0,0,High-area,True
