,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
39469,89196952663ffff,92,4,4,5,1,2,0,7,67,6,0,High-area,True
39561,89196826b2bffff,40,2,0,0,0,3,0,12,18,7,0,High-area,True
39601,8919682483bffff,11,0,1,0,0,0,0,0,9,1,0,Low-area,False
39612,891969c9d23ffff,34,1,0,1,2,3,0,3,23,2,0,High-area,True
39646,89196824d17ffff,30,3,0,2,1,1,1,3,17,5,0,High-area,True
39676,891969c9a63ffff,60,5,1,9,0,1,0,14,32,3,0,High-area,True
39736,891969c9aabffff,75,4,1,1,0,3,0,13,48,9,0,High-area,True
39811,891969cd667ffff,6,1,0,0,0,0,0,0,6,0,0,Low-area,True
39817,89196952287ffff,83,5,5,3,4,1,2,7,45,16,0,High-area,True
39900,89196826b4fffff,40,3,0,1,0,2,1,11,23,2,0,High-area,True
39940,891969522bbffff,76,1,1,6,0,0,2,16,41,10,0,High-area,True
40016,891969504abffff,3,0,1,0,1,0,1,0,0,0,0,Low-area,False
40019,89196826c2bffff,1,0,0,0,1,0,0,0,0,0,0,Low-area,False
40020,891969533d7ffff,2,0,0,0,1,0,0,0,1,0,0,Low-area,False
40022,89196826dd7ffff,1,0,0,0,0,0,0,1,0,0,0,Low-area,False
40023,891968268abffff,4,0,0,0,1,0,0,0,2,1,0,Low-area,False
40027,891969c8a37ffff,14,0,1,0,0,0,0,6,6,1,0,Low-area,False
40041,891969c9e1bffff,38,1,1,0,1,1,0,12,17,6,0,High-area,True
40079,891969535d7ffff,92,2,5,12,4,3,3,9,48,8,0,High-area,True
40171,8919695330fffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
40172,891969c9843ffff,1,0,0,1,0,0,0,0,0,0,0,Low-area,False
40173,891969534d3ffff,92,1,2,3,0,2,1,17,62,5,0,High-area,True
40265,89196952227ffff,12,1,0,0,0,0,0,0,5,7,0,Low-area,True
40277,891969c9d53ffff,16,2,0,0,0,1,0,1,12,2,0,Low-area,True
40293,891969c9ed3ffff,22,2,1,0,0,1,0,5,12,3,0,Low-area,True
40315,89196826983ffff,71,8,2,5,1,1,1,5,51,5,0,High-area,True
40386,8919682692fffff,64,1,7,2,3,1,0,15,33,3,0,High-area,True
40450,89196826d63ffff,60,0,0,1,0,0,1,19,39,0,0,High-area,False
40510,89196953357ffff,6,0,0,0,0,0,0,0,6,0,0,Low-area,False
40516,891969cd043ffff,3,0,0,0,0,0,0,2,1,0,0,Low-area,False
40519,891969c9d37ffff,50,0,0,3,2,4,1,10,21,9,0,High-area,False
40569,89196953183ffff,77,5,1,0,0,0,5,3,60,8,0,High-area,True
40646,89196824547ffff,5,1,0,0,0,0,0,0,5,0,0,Low-area,True
40651,891969520b7ffff,5,0,0,0,0,0,1,0,1,3,0,Low-area,False
40656,891968241d3ffff,9,0,0,0,0,0,0,4,5,0,0,Low-area,False
40665,891969cd62fffff,23,4,0,0,0,2,0,5,14,2,0,Low-area,True
40688,8919695224fffff,3,0,0,0,2,0,0,0,0,1,0,Low-area,False
40691,89196824c9bffff,4,0,0,0,0,0,1,0,1,2,0,Low-area,False
40695,891969522cbffff,91,3,12,3,2,2,1,25,36,10,0,High-area,True
40786,8919695314fffff,12,1,0,0,0,0,1,0,3,8,0,Low-area,True
40798,891969c9b0fffff,99,1,12,2,2,0,7,28,46,2,0,High-area,True
40897,891969533a7ffff,10,0,0,1,0,0,0,1,5,2,1,Low-area,False
40907,8919695208fffff,78,3,0,0,0,0,1,6,56,15,0,High-area,True
40985,8919695251bffff,2,0,0,0,0,0,1,0,0,1,0,Low-area,False
40987,891969c9323ffff,9,0,2,1,0,0,2,0,4,0,0,Low-area,False
