,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,is_station
4011,891e80cf233ffff,6,0,0,0,0,3,0,0,3,0,0,Low-area,False
4017,891e805132bffff,4,0,1,1,0,0,0,1,1,0,0,Low-area,False
4021,891e80553abffff,2,0,0,0,0,0,0,1,0,1,0,Low-area,False
4023,891e8058613ffff,1,0,0,0,0,0,0,0,1,0,0,Low-area,False
4024,891e80cf3c3ffff,3,0,0,0,0,0,0,2,1,0,0,Low-area,False
4027,891e8051ad3ffff,47,0,2,1,0,2,0,11,25,6,0,High-area,False
4074,891e805360bffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
4075,891e805151bffff,9,0,1,0,0,2,0,3,3,0,0,Low-area,False
4084,891e8041457ffff,1,0,0,0,0,1,0,0,0,0,0,Low-area,False
4085,891e8059537ffff,34,0,7,9,1,3,2,2,6,4,0,High-area,False
4119,891e80580b3ffff,29,0,3,0,0,2,0,13,10,1,0,Low-area,False
4148,891e8051e97ffff,13,0,1,0,0,0,0,2,10,0,0,Low-area,False
4161,891e8055393ffff,6,0,0,1,0,1,0,2,1,1,0,Low-area,False
4167,891e8051dcfffff,11,0,3,0,0,1,1,0,2,4,0,Low-area,False
4178,891e805ac4fffff,15,0,3,1,0,3,1,1,5,1,0,Low-area,False
4193,891e8052027ffff,40,0,2,2,0,2,3,8,19,4,0,High-area,False
4233,891e8050673ffff,24,0,2,0,0,2,1,4,14,1,0,Low-area,False
4257,891e805a9b7ffff,41,1,2,1,0,1,0,13,15,9,0,High-area,True
4298,891e8058157ffff,2,0,0,0,0,1,0,0,1,0,0,Low-area,False
4300,891e8050ddbffff,96,0,18,9,2,1,4,24,35,3,0,High-area,False
4396,891e8052213ffff,45,0,5,1,2,1,0,15,15,6,0,High-area,False
4441,891e80cdc27ffff,11,0,1,1,0,0,0,3,5,1,0,Low-area,False
4452,891e80cd54bffff,24,0,0,0,0,1,0,7,14,2,0,Low-area,False
4476,891e805ad13ffff,1,0,0,0,0,0,0,0,0,1,0,Low-area,False
4477,891e8055c87ffff,11,0,2,0,0,1,0,3,4,1,0,Low-area,False
4488,891e8043637ffff,10,0,5,1,0,2,0,0,2,0,0,Low-area,False
4498,891e80cde37ffff,6,0,2,0,0,1,0,0,2,1,0,Low-area,False
